worker,arm,task,tier,method,seed,role,digest,test_mean,test_sd,dev_score,worker_route,source
haiku,sol,tau2,minimal,adaevolve,,initial,a6dcbe3cc269,0.45454545454545453,0.018181818181818188,0.6606061090909091,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,sol,tau2,minimal,,,genesis,5b879699424e,0.509090909090909,0.01818181818181816,0.5878787878787879,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,sol,tau2,strong,,,genesis,8bfc0e778d30,0.47878787878787876,0.07348094335140691,0.5575757090909091,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,sol,charxiv,medium,gepa,s0,best,d20b5bc60f21,0.6161616161616161,0.05321037248915526,0.7626262626262627,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,sol,charxiv,medium,gepa,s1,best,7479926ccc47,0.5505050505050505,0.048705306873701816,0.7373737373737373,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,sol,charxiv,medium,mh,s0,best,1c20f3293b7d,0.6161616161616161,0.08747731351357965,0.7626262727272728,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,sol,charxiv,minimal,adaevolve,s0,best,c0dac5d52859,0.5404040404040403,0.008747731351357958,0.7777777727272728,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,sol,charxiv,minimal,gepa,s0,best,eb840e35abf0,0.5505050505050505,0.023144321691696203,0.7474747474747475,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,sol,charxiv,minimal,mh,s0,best,949d0bbe92d2,0.5959595959595959,0.031540393931305075,0.7626262575757576,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,sol,charxiv,strong,gepa,s0,best,a62d95e3c23c,0.5151515151515151,0.030303030303030276,0.7777777777777778,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,sol,tau2,medium,gepa,,best,c18b75eee9eb,0.4848484848484848,0.06883525267636695,0.6848484848484848,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,sol,tau2,medium,mh,,best,331be4efdf57,0.47878787878787876,0.027773186030035372,0.5818182,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,sol,tau2,minimal,adaevolve,,best,9849cc16890b,0.5878787878787879,0.010497277621629563,0.7393940181818182,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,sol,tau2,minimal,gepa,,best,2f7cdeb0ef21,0.5272727272727272,0.04810456929208346,0.6787878787878788,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,sol,tau2,minimal,mh,,best,008da0fc211d,0.509090909090909,0.01818181818181816,0.6666666909090909,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,sol,tau2,strong,gepa,,best,396bd9947806,0.5393939393939394,0.10013764631429277,0.6545454545454545,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,sol,tau2,strong,mh,,best,ad650065e844,0.5272727272727272,0.1090909090909091,0.6363636545454545,chat,solposthocscores-haiku/posthoc_summary.csv
