arm,task,tier,method,seed,genesis_dev,best_dev,n_dev_evals,n_train_evals,n_candidates,n_dev_improvements,total_usd,meta_usd,rollouts,wallclock_h,best_found_at_frac
opus5,tau2,strong,gepa,seed0,0.563636,0.678788,32,161,86,3,51.764965,11.81356,6085,72.0,0.85
opus5,tau2,strong,mh,seed0,0.557576,0.709091,25,50,36,5,55.135235,22.473138,5279,64.1,0.97
opus5,gpqa,medium,gepa,seed0,0.840796,0.890547,90,600,209,5,75.533671,9.94879,17204,57.2,0.8
opus5,gpqa,medium,mh,seed0,0.820896,0.895522,34,70,46,5,71.649455,25.398575,9080,34.0,0.35
opus5,gpqa,minimal,adaevolve,seed0,0.820896,0.885572,5,300,307,2,128.745185,33.873455,20505,65.2,1.0
opus5,gpqa,minimal,gepa,seed0,0.835821,0.880597,196,656,249,4,21.422404,4.63635,10976,19.7,0.27
opus5,gpqa,minimal,mh,seed0,0.825871,0.890547,15,29,23,5,23.547789,7.953381,4004,11.2,1.0
opus5,gpqa,strong,gepa,seed0,0.875622,0.915423,61,331,117,4,131.24999,7.747685,14908,72.0,0.66
opus5,gpqa,strong,mh,seed0,0.880597,0.915423,35,69,43,5,101.090288,28.52851,9344,43.9,0.53
opus5,charxiv,medium,gepa,seed0,0.717172,0.777778,135,942,421,4,59.891683,16.92313,34198,72.0,0.16
opus5,charxiv,medium,gepa,seed1,0.727273,0.752525,3,18,12,1,1.041333,0.145645,706,1.9,1.0
opus5,charxiv,medium,mh,seed0,0.712121,0.787879,81,161,88,7,94.939067,59.843015,21626,50.7,0.53
opus5,charxiv,medium,mh,seed1,0.727273,0.742424,3,5,6,1,1.774503,0.610884,800,2.1,1.0
opus5,charxiv,minimal,adaevolve,seed0,0.752525,0.752525,4,252,258,0,63.771209,28.593105,17928,51.9,0.04
opus5,charxiv,minimal,adaevolve,seed1,0.757576,0.757576,2,9,10,0,0.693999,0.04219,532,1.3,
opus5,charxiv,minimal,gepa,seed0,0.732323,0.787879,191,1142,524,5,54.615689,22.33635,46806,72.0,0.83
opus5,charxiv,minimal,gepa,seed1,0.752525,0.752525,6,27,14,0,0.146986,,198,0.4,0.15
opus5,charxiv,minimal,mh,seed0,0.722222,0.792929,81,161,88,7,87.658218,58.306761,21626,46.6,0.2
opus5,charxiv,minimal,mh,seed1,0.737374,0.757576,4,8,8,2,1.557412,0.812834,800,1.8,0.66
opus5,charxiv,strong,gepa,seed0,0.752525,0.79798,160,972,437,5,78.222157,18.230895,39425,72.0,0.96
opus5,charxiv,strong,mh,seed1,0.742424,0.742424,4,9,5,0,0.408805,,266,0.6,0.25
